id,project_name,url,dependency_count,licenses_count,critical_cves_count,high_cves_count,medium_cves_count,low_cves_count,sbomqs_rating,format,format_version,origin,tool,creation_time
122,chronograf:latest,https://hub.docker.com/_/chronograf,127,145,0,0,0,0,8.39,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:36:39Z
123,chronograf,https://hub.docker.com/_/chronograf,247,72,0,0,0,3,7.36,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:36:36Z
124,buildpack-deps,https://hub.docker.com/_/buildpack-deps,416,269,0,0,0,0,8.58,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:37:06Z
125,buildpack-deps:latest,https://hub.docker.com/_/buildpack-deps,415,286,0,0,0,0,8.33,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:37:07Z
126,buildpack-deps,https://hub.docker.com/_/buildpack-deps,549,139,0,0,0,0,7.53,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:36:57Z
127,amazonlinux,https://hub.docker.com/_/amazonlinux,107,38,0,0,0,0,8.33,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:37:17Z
128,amazonlinux:latest,https://hub.docker.com/_/amazonlinux,105,34,0,0,0,0,8.89,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:37:18Z
129,amazonlinux,https://hub.docker.com/_/amazonlinux,134,31,0,0,0,0,7.22,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:37:15Z
130,rabbitmq,https://hub.docker.com/_/rabbitmq,110,92,0,0,0,0,8.67,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:37:29Z
131,rabbitmq:latest,https://hub.docker.com/_/rabbitmq,107,85,0,0,0,0,8.51,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:37:29Z
132,rabbitmq,https://hub.docker.com/_/rabbitmq,149,57,0,0,0,0,7.48,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:37:26Z
133,hello-world,https://hub.docker.com/_/hello-world,1,0,0,0,0,0,7.27,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:37:35Z
134,hello-world:latest,https://hub.docker.com/_/hello-world,1,0,-1,-1,-1,-1,5.68,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:37:36Z
135,hello-world,https://hub.docker.com/_/hello-world,0,0,-1,-1,-1,-1,4.32,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:37:35Z
136,rethinkdb,https://hub.docker.com/_/rethinkdb,135,96,0,0,0,0,8.65,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:37:45Z
137,rethinkdb:latest,https://hub.docker.com/_/rethinkdb,136,92,-1,-1,-1,-1,8.48,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:37:46Z
138,rethinkdb,https://hub.docker.com/_/rethinkdb,190,65,0,0,0,0,7.48,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:37:43Z
139,fedora,https://hub.docker.com/_/fedora,148,85,0,0,0,0,8.74,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:37:58Z
140,fedora:latest,https://hub.docker.com/_/fedora,145,71,0,0,0,0,9.09,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:37:58Z
141,fedora,https://hub.docker.com/_/fedora,180,74,0,0,0,0,7.64,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:37:55Z
142,php,https://hub.docker.com/_/php,177,159,0,0,0,0,8.59,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:38:15Z
143,php:latest,https://hub.docker.com/_/php,175,172,0,0,0,0,8.33,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:38:16Z
144,php,https://hub.docker.com/_/php,235,86,0,0,0,0,7.46,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:38:10Z
145,zookeeper,https://hub.docker.com/_/zookeeper,202,140,0,0,0,2,8.53,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:38:30Z
146,zookeeper:latest,https://hub.docker.com/_/zookeeper,207,130,0,0,0,2,8.21,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:38:30Z
147,zookeeper,https://hub.docker.com/_/zookeeper,255,85,0,0,0,2,7.43,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:38:25Z
148,bash,https://hub.docker.com/_/bash,20,12,0,0,0,0,8.91,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:38:37Z
149,bash:latest,https://hub.docker.com/_/bash,20,8,0,0,0,0,8.61,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:38:37Z
150,bash,https://hub.docker.com/_/bash,24,8,0,0,0,0,8.5,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:38:36Z
151,solr,https://hub.docker.com/_/solr,670,179,0,0,0,19,8.36,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:38:59Z
152,solr:latest,https://hub.docker.com/_/solr,658,129,0,0,0,19,7.71,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:39:00Z
153,solr,https://hub.docker.com/_/solr,671,123,0,0,0,16,7.33,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:38:50Z
154,ghost,https://hub.docker.com/_/ghost,2761,107,0,0,0,36,9.01,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:39:39Z
155,ghost:latest,https://hub.docker.com/_/ghost,2761,94,0,0,0,36,8.39,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:39:40Z
156,ghost,https://hub.docker.com/_/ghost,2148,76,0,0,0,33,8.48,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:39:26Z
157,gradle,https://hub.docker.com/_/gradle,464,176,0,0,0,9,8.37,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:55:49Z
158,gradle:latest,https://hub.docker.com/_/gradle,322,145,0,0,0,2,8.01,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:55:50Z
159,gradle,https://hub.docker.com/_/gradle,536,117,0,0,0,9,7.31,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:55:40Z
160,influxdb,https://hub.docker.com/_/influxdb,561,134,0,0,0,8,8.27,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:56:04Z
161,influxdb:latest,https://hub.docker.com/_/influxdb,349,145,0,0,0,6,7.81,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:56:04Z
162,influxdb,https://hub.docker.com/_/influxdb,394,72,0,0,0,6,7.24,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:56:00Z
